"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.069,0.089,0.077,0.051,0.362,0.181,0.08,1
"2",0.003,0.091,0.079,0.053,0.324,0.187,0.09,1
"3",0.067,0.09,0.077,0.05,0.351,0.192,0.085,1
"4",0,0.099,0.089,0.079,0.288,0.236,0.134,1
"5",0.065,0.089,0.077,0.048,0.345,0.176,0.077,1
"6",0.08,0.099,0.091,0.086,0.28,0.205,0.116,1
"7",0.047,0.092,0.083,0.054,0.37,0.208,0.093,1
"8",0,0.091,0.083,0.053,0.382,0.207,0.093,1
"9",0.067,0.093,0.084,0.056,0.371,0.215,0.1,1
"10",0.023,0.094,0.087,0.059,0.361,0.215,0.1,1
"11",0.067,0.092,0.079,0.053,0.37,0.192,0.084,1
"12",0.017,0.093,0.088,0.058,0.362,0.222,0.102,1
"13",0.025,0.093,0.087,0.057,0.369,0.217,0.099,1
"14",0.074,0.087,0.077,0.047,0.359,0.167,0.07,1
"15",0.006,0.104,0.089,0.081,0.278,0.231,0.132,1
"16",0,0.092,0.08,0.057,0.326,0.211,0.106,1
"17",0.077,0.093,0.084,0.066,0.311,0.188,0.1,1
"18",0.016,0.098,0.088,0.079,0.269,0.196,0.112,1
"19",0.019,0.093,0.079,0.067,0.271,0.234,0.128,1
"20",0.057,0.091,0.081,0.053,0.361,0.21,0.094,1
"21",0.046,0.089,0.079,0.049,0.39,0.202,0.089,1
"22",0.09,0.092,0.085,0.058,0.373,0.227,0.104,1
"23",0.065,0.09,0.075,0.052,0.289,0.184,0.087,1
"24",0.077,0.091,0.083,0.053,0.381,0.213,0.098,1
"25",0.033,0.094,0.086,0.059,0.368,0.217,0.1,1
"26",0,0.089,0.073,0.05,0.3,0.164,0.08,1
"27",0.151,0.091,0.075,0.046,0.339,0.165,0.068,1
"28",0.116,0.101,0.093,0.087,0.278,0.217,0.127,1
"29",0.107,0.094,0.08,0.066,0.266,0.217,0.12,1
"30",0.118,0.085,0.073,0.043,0.357,0.159,0.065,1
"31",0.187,0.09,0.074,0.045,0.349,0.166,0.067,1
"32",0.179,0.091,0.079,0.048,0.406,0.174,0.069,1
