"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.069,0.089,0.077,0.051,0.362,0.181,0.08,1
"2",0.044,0.108,0.1,0.105,0.233,0.221,0.142,1
"3",0.003,0.091,0.079,0.053,0.324,0.187,0.09,1
"4",0.007,0.1,0.088,0.085,0.242,0.271,0.168,1
"5",0.058,0.098,0.08,0.074,0.238,0.231,0.15,1
"6",0.061,0.093,0.084,0.059,0.329,0.224,0.107,1
"7",0.024,0.097,0.083,0.079,0.226,0.234,0.144,1
"8",0.067,0.09,0.077,0.05,0.351,0.192,0.085,1
"9",0.022,0.096,0.081,0.075,0.238,0.245,0.151,1
"10",0,0.099,0.089,0.079,0.288,0.236,0.134,1
"11",0.034,0.1,0.089,0.091,0.236,0.272,0.17,1
"12",0.065,0.089,0.077,0.048,0.345,0.176,0.077,1
"13",0.028,0.092,0.083,0.06,0.32,0.222,0.109,1
"14",0.08,0.099,0.091,0.086,0.28,0.205,0.116,1
"15",0.024,0.1,0.093,0.08,0.342,0.288,0.158,1
"16",0.023,0.099,0.092,0.082,0.319,0.278,0.155,1
"17",0.084,0.09,0.082,0.048,0.393,0.186,0.077,1
"18",0.045,0.095,0.082,0.07,0.232,0.159,0.103,1
"19",0.047,0.092,0.083,0.054,0.37,0.208,0.093,1
"20",0,0.091,0.083,0.053,0.382,0.207,0.093,1
"21",0.055,0.094,0.084,0.062,0.321,0.235,0.118,1
"22",0.067,0.093,0.084,0.056,0.371,0.215,0.1,1
"23",0.018,0.097,0.092,0.07,0.378,0.254,0.128,1
"24",0.045,0.094,0.081,0.062,0.303,0.212,0.11,1
"25",0.011,0.085,0.067,0.044,0.278,0.135,0.061,1
"26",0.023,0.094,0.087,0.059,0.361,0.215,0.1,1
"27",0.067,0.092,0.079,0.053,0.37,0.192,0.084,1
"28",0.058,0.094,0.085,0.061,0.405,0.235,0.118,1
"29",0.017,0.093,0.088,0.058,0.362,0.222,0.102,1
"30",0.025,0.093,0.087,0.057,0.369,0.217,0.099,1
"31",0.012,0.091,0.086,0.051,0.42,0.213,0.093,1
"32",0.009,0.098,0.086,0.081,0.263,0.281,0.17,1
"33",0.074,0.087,0.077,0.047,0.359,0.167,0.07,1
"34",0.006,0.104,0.089,0.081,0.278,0.231,0.132,1
"35",0.041,0.09,0.078,0.055,0.324,0.186,0.091,1
"36",0.051,0.083,0.068,0.041,0.298,0.121,0.046,1
"37",0.05,0.104,0.089,0.095,0.19,0.249,0.183,1
"38",0,0.092,0.08,0.057,0.326,0.211,0.106,1
"39",0.098,0.111,0.095,0.094,0.214,0.204,0.155,1
"40",0.077,0.093,0.084,0.066,0.311,0.188,0.1,1
"41",0.003,0.099,0.085,0.079,0.245,0.261,0.153,1
"42",0.008,0.087,0.071,0.043,0.342,0.166,0.071,1
"43",0.006,0.085,0.063,0.039,0.225,0.094,0.037,1
"44",0.016,0.098,0.088,0.079,0.269,0.196,0.112,1
"45",0.019,0.093,0.079,0.067,0.271,0.234,0.128,1
"46",0.041,0.101,0.083,0.087,0.178,0.227,0.175,1
"47",0.057,0.091,0.081,0.053,0.361,0.21,0.094,1
"48",0.046,0.089,0.079,0.049,0.39,0.202,0.089,1
"49",0.09,0.092,0.085,0.058,0.373,0.227,0.104,1
"50",0,0.105,0.095,0.1,0.238,0.215,0.136,1
"51",0.065,0.09,0.075,0.052,0.289,0.184,0.087,1
