"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0,0.114,0.113,0.101,0.031,0.005,0.002,1
"2",0.001,0.113,0.106,0.091,0.063,0.009,0.004,1
"3",0,0.105,0.09,0.074,0.223,0.19,0.106,2
"4",0.009,0.094,0.09,0.051,0.447,0.153,0.055,2
"5",0,0.116,0.111,0.114,0.122,0.052,0.022,1
"6",0,0.096,0.086,0.057,0.365,0.125,0.048,2
"7",0.025,0.126,0.111,0.115,0.181,0.186,0.12,2
"8",0.057,0.092,0.079,0.048,0.368,0.128,0.043,2
"9",0,0.114,0.113,0.1,0.03,0.004,0.002,1
"10",0,0.118,0.115,0.111,0.045,0.006,0.003,1
"11",0,0.119,0.101,0.1,0.138,0.147,0.089,3
"12",0,0.108,0.101,0.083,0.037,0.005,0.003,1
"13",0,0.096,0.091,0.053,0.418,0.154,0.057,2
"14",0.001,0.109,0.105,0.086,0.357,0.195,0.103,2
"15",0,0.104,0.094,0.081,0.3,0.239,0.122,2
"16",0,0.118,0.117,0.113,0.046,0.006,0.003,1
"17",0,0.117,0.113,0.101,0.158,0.085,0.035,1
"18",0,0.129,0.124,0.125,0.174,0.096,0.036,1
"19",0,0.12,0.103,0.104,0.127,0.155,0.102,3
"20",0,0.116,0.113,0.122,0.06,0.005,0.002,1
"21",0.058,0.096,0.094,0.056,0.383,0.162,0.06,2
"22",0,0.123,0.117,0.111,0.16,0.101,0.043,1
"23",0,0.109,0.102,0.084,0.043,0.005,0.003,1
"24",0,0.119,0.105,0.109,0.153,0.157,0.098,3
"25",0.069,0.096,0.083,0.061,0.318,0.152,0.065,2
"26",0,0.113,0.112,0.102,0.033,0.005,0.002,1
"27",0,0.119,0.122,0.116,0.035,0.006,0.004,1
"28",0,0.109,0.103,0.086,0.066,0.008,0.003,1
"29",0.035,0.093,0.09,0.051,0.447,0.148,0.052,2
"30",0.076,0.105,0.087,0.079,0.2,0.198,0.114,2
"31",0.058,0.092,0.084,0.049,0.39,0.118,0.039,2
"32",0,0.118,0.116,0.12,0.05,0.005,0.002,1
"33",0,0.116,0.111,0.118,0.073,0.011,0.006,1
"34",0,0.103,0.088,0.087,0.223,0.27,0.146,2
"35",0,0.125,0.121,0.12,0.18,0.084,0.028,1
"36",0,0.114,0.097,0.094,0.117,0.16,0.101,3
"37",0,0.116,0.098,0.098,0.143,0.185,0.114,3
"38",0.004,0.1,0.087,0.066,0.312,0.216,0.112,2
"39",0,0.12,0.118,0.119,0.066,0.007,0.003,1
"40",0,0.119,0.122,0.117,0.034,0.004,0.003,1
"41",0.064,0.101,0.099,0.071,0.385,0.209,0.091,2
"42",0,0.103,0.088,0.075,0.273,0.226,0.116,2
"43",0.009,0.098,0.088,0.068,0.319,0.17,0.078,2
"44",0,0.11,0.103,0.086,0.039,0.006,0.002,1
"45",0,0.118,0.121,0.115,0.034,0.005,0.003,1
"46",0,0.109,0.101,0.084,0.04,0.005,0.003,1
"47",0.032,0.095,0.086,0.056,0.365,0.149,0.059,2
"48",0,0.114,0.111,0.101,0.034,0.007,0.004,1
"49",0,0.116,0.115,0.108,0.037,0.008,0.005,1
"50",0,0.103,0.092,0.071,0.27,0.173,0.089,2
"51",0.077,0.092,0.081,0.047,0.422,0.123,0.04,2
"52",0.041,0.113,0.099,0.096,0.195,0.207,0.122,2
"53",0.025,0.124,0.116,0.111,0.201,0.101,0.037,1
"54",0,0.121,0.114,0.108,0.122,0.025,0.012,1
"55",0,0.109,0.102,0.084,0.037,0.005,0.002,1
"56",0,0.101,0.101,0.065,0.355,0.163,0.066,2
"57",0,0.117,0.115,0.111,0.046,0.006,0.003,1
"58",0,0.107,0.099,0.08,0.048,0.006,0.003,1
"59",0.079,0.101,0.084,0.072,0.219,0.198,0.105,2
"60",0,0.119,0.116,0.112,0.045,0.006,0.003,1
"61",0,0.118,0.115,0.11,0.043,0.006,0.003,1
"62",0.05,0.096,0.092,0.057,0.416,0.162,0.062,2
"63",0,0.118,0.116,0.121,0.051,0.005,0.002,1
"64",0.058,0.093,0.077,0.047,0.369,0.124,0.04,2
"65",0.008,0.116,0.103,0.104,0.206,0.21,0.125,2
"66",0,0.092,0.081,0.047,0.416,0.11,0.034,2
"67",0,0.115,0.112,0.108,0.039,0.006,0.003,1
"68",0,0.097,0.093,0.059,0.391,0.178,0.071,2
"69",0.015,0.097,0.094,0.062,0.411,0.168,0.067,2
"70",0,0.093,0.08,0.048,0.41,0.115,0.036,2
"71",0,0.12,0.12,0.1,0.357,0.192,0.106,2
"72",0,0.118,0.117,0.114,0.049,0.007,0.004,1
"73",0,0.113,0.11,0.102,0.038,0.007,0.003,1
"74",0,0.119,0.117,0.114,0.048,0.007,0.004,1
"75",0.047,0.095,0.091,0.054,0.436,0.163,0.06,2
"76",0,0.098,0.099,0.064,0.42,0.181,0.073,2
"77",0,0.118,0.12,0.114,0.036,0.006,0.003,1
"78",0,0.108,0.1,0.083,0.037,0.005,0.003,1
"79",0,0.118,0.103,0.106,0.149,0.16,0.097,3
"80",0,0.118,0.116,0.11,0.044,0.006,0.003,1
"81",0,0.118,0.103,0.097,0.215,0.141,0.079,2
"82",0,0.1,0.085,0.068,0.272,0.13,0.063,2
"83",0,0.116,0.097,0.099,0.146,0.186,0.114,3
"84",0,0.098,0.101,0.058,0.432,0.172,0.065,2
"85",0,0.099,0.092,0.069,0.331,0.189,0.088,2
"86",0,0.109,0.102,0.085,0.046,0.006,0.003,1
"87",0,0.118,0.118,0.12,0.047,0.006,0.003,1
"88",0,0.114,0.111,0.103,0.036,0.007,0.004,1
"89",0.059,0.097,0.085,0.062,0.317,0.157,0.065,2
"90",0,0.118,0.119,0.108,0.034,0.006,0.003,1
"91",0,0.117,0.114,0.118,0.051,0.006,0.003,1
"92",0,0.108,0.1,0.082,0.038,0.005,0.002,1
"93",0,0.118,0.116,0.112,0.045,0.006,0.003,1
"94",0,0.107,0.1,0.082,0.081,0.013,0.006,1
"95",0,0.113,0.112,0.101,0.033,0.005,0.002,1
"96",0.015,0.098,0.097,0.057,0.42,0.172,0.071,2
"97",0,0.109,0.101,0.084,0.041,0.006,0.003,1
"98",0.006,0.092,0.079,0.048,0.354,0.13,0.045,2
"99",0.031,0.118,0.115,0.114,0.09,0.029,0.011,1
"100",0,0.115,0.111,0.098,0.156,0.078,0.031,1
"101",0,0.097,0.089,0.056,0.358,0.158,0.062,2
"102",0,0.11,0.104,0.087,0.064,0.007,0.003,1
"103",0,0.116,0.114,0.111,0.05,0.006,0.003,1
"104",0,0.12,0.118,0.117,0.07,0.007,0.003,1
"105",0,0.119,0.122,0.115,0.034,0.005,0.003,1
"106",0,0.119,0.117,0.114,0.054,0.006,0.003,1
"107",0.001,0.093,0.08,0.049,0.396,0.111,0.035,2
"108",0,0.124,0.12,0.117,0.176,0.088,0.029,1
"109",0,0.097,0.093,0.056,0.411,0.166,0.063,2
"110",0,0.096,0.091,0.055,0.44,0.163,0.062,2
"111",0,0.118,0.12,0.11,0.035,0.006,0.003,1
"112",0,0.119,0.123,0.115,0.034,0.005,0.003,1
"113",0.002,0.109,0.095,0.088,0.215,0.181,0.105,2
"114",0,0.109,0.1,0.081,0.059,0.008,0.005,1
"115",0,0.099,0.095,0.063,0.395,0.174,0.07,2
"116",0,0.119,0.116,0.113,0.047,0.006,0.003,1
"117",0.087,0.091,0.08,0.048,0.398,0.114,0.036,2
"118",0.088,0.098,0.089,0.064,0.35,0.191,0.089,2
"119",0.064,0.094,0.09,0.051,0.453,0.159,0.058,2
"120",0.02,0.099,0.088,0.072,0.281,0.193,0.091,2
"121",0,0.115,0.112,0.107,0.045,0.005,0.003,1
"122",0,0.092,0.078,0.047,0.407,0.115,0.037,2
"123",0,0.118,0.115,0.11,0.044,0.006,0.003,1
"124",0,0.119,0.122,0.115,0.034,0.006,0.003,1
"125",0.009,0.096,0.091,0.063,0.359,0.195,0.084,2
"126",0,0.114,0.109,0.111,0.05,0.008,0.004,1
"127",0.001,0.119,0.101,0.099,0.144,0.196,0.121,3
"128",0,0.119,0.117,0.114,0.078,0.008,0.004,1
"129",0,0.098,0.089,0.062,0.369,0.183,0.08,2
"130",0.003,0.097,0.085,0.055,0.399,0.171,0.067,2
"131",0.022,0.112,0.096,0.098,0.209,0.274,0.17,2
