"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.007,0.093,0.08,0.048,0.397,0.138,0.047,1
"2",0,0.116,0.113,0.109,0.047,0.006,0.003,2
"3",0.079,0.093,0.084,0.055,0.374,0.139,0.051,1
"4",0.07,0.095,0.09,0.051,0.431,0.15,0.053,1
"5",0.002,0.108,0.097,0.087,0.286,0.23,0.122,1
"6",0,0.096,0.091,0.054,0.43,0.162,0.061,1
"7",0.032,0.101,0.089,0.068,0.291,0.192,0.093,1
"8",0,0.117,0.114,0.122,0.056,0.005,0.003,2
"9",0,0.114,0.111,0.106,0.042,0.008,0.004,2
"10",0.004,0.102,0.1,0.072,0.394,0.18,0.083,1
"11",0,0.115,0.115,0.106,0.035,0.007,0.004,2
"12",0,0.1,0.094,0.076,0.344,0.234,0.115,1
"13",0,0.119,0.122,0.116,0.036,0.006,0.003,2
"14",0,0.118,0.116,0.11,0.043,0.006,0.003,2
"15",0.015,0.098,0.097,0.057,0.42,0.172,0.071,1
"16",0.086,0.094,0.088,0.051,0.442,0.143,0.05,1
"17",0,0.119,0.121,0.116,0.034,0.005,0.002,2
"18",0.034,0.093,0.084,0.049,0.426,0.134,0.044,1
"19",0,0.119,0.117,0.114,0.049,0.007,0.004,2
"20",0,0.119,0.116,0.113,0.047,0.006,0.003,2
"21",0.067,0.1,0.088,0.073,0.284,0.186,0.089,1
"22",0,0.093,0.084,0.048,0.463,0.125,0.041,1
"23",0,0.103,0.089,0.074,0.31,0.213,0.107,1
"24",0.028,0.094,0.084,0.051,0.396,0.145,0.054,1
"25",0,0.119,0.122,0.116,0.034,0.005,0.003,2
"26",0,0.093,0.08,0.048,0.399,0.113,0.036,1
"27",0,0.105,0.098,0.087,0.314,0.238,0.125,1
"28",0.059,0.094,0.09,0.051,0.444,0.147,0.053,1
"29",0,0.117,0.112,0.118,0.081,0.017,0.008,2
"30",0,0.12,0.12,0.122,0.047,0.007,0.003,2
"31",0,0.096,0.09,0.055,0.378,0.16,0.061,1
"32",0,0.104,0.099,0.08,0.294,0.207,0.104,1
"33",0,0.119,0.116,0.112,0.045,0.006,0.003,2
"34",0,0.119,0.123,0.115,0.034,0.005,0.003,2
"35",0,0.103,0.093,0.081,0.303,0.222,0.107,1
"36",0,0.112,0.108,0.1,0.046,0.009,0.004,2
"37",0.058,0.092,0.084,0.049,0.39,0.118,0.039,1
"38",0.022,0.104,0.091,0.083,0.264,0.213,0.115,1
"39",0.017,0.097,0.088,0.058,0.309,0.172,0.078,1
"40",0,0.119,0.118,0.123,0.049,0.006,0.003,2
"41",0,0.115,0.111,0.107,0.038,0.008,0.004,2
"42",0,0.095,0.088,0.053,0.368,0.144,0.053,1
"43",0.074,0.097,0.09,0.058,0.363,0.176,0.074,1
"44",0,0.114,0.113,0.104,0.033,0.006,0.003,2
"45",0,0.119,0.122,0.115,0.035,0.005,0.003,2
"46",0,0.097,0.099,0.061,0.449,0.184,0.074,1
"47",0.027,0.095,0.089,0.052,0.379,0.162,0.061,1
"48",0,0.119,0.116,0.112,0.045,0.006,0.004,2
"49",0,0.118,0.12,0.11,0.033,0.006,0.003,2
"50",0,0.099,0.083,0.06,0.254,0.112,0.056,3
"51",0,0.117,0.116,0.121,0.052,0.005,0.002,2
"52",0.034,0.099,0.095,0.064,0.378,0.184,0.08,1
"53",0,0.117,0.115,0.112,0.047,0.006,0.003,2
"54",0,0.115,0.112,0.106,0.039,0.007,0.004,2
"55",0,0.117,0.115,0.111,0.048,0.006,0.003,2
"56",0,0.119,0.122,0.116,0.034,0.005,0.003,2
"57",0.006,0.096,0.093,0.059,0.411,0.16,0.062,1
"58",0,0.113,0.111,0.102,0.034,0.006,0.002,2
"59",0,0.095,0.088,0.055,0.396,0.177,0.076,1
"60",0.03,0.097,0.094,0.061,0.396,0.181,0.075,1
"61",0.002,0.091,0.08,0.048,0.35,0.111,0.037,1
"62",0,0.119,0.118,0.121,0.048,0.006,0.003,2
"63",0.004,0.096,0.087,0.055,0.359,0.148,0.056,1
"64",0,0.095,0.089,0.055,0.346,0.147,0.058,1
"65",0,0.119,0.122,0.117,0.035,0.005,0.003,2
"66",0,0.117,0.113,0.119,0.079,0.012,0.007,2
"67",0,0.114,0.109,0.11,0.049,0.009,0.005,2
"68",0,0.12,0.118,0.118,0.064,0.006,0.003,2
"69",0,0.098,0.1,0.059,0.44,0.175,0.067,1
"70",0.032,0.095,0.09,0.052,0.455,0.162,0.061,1
"71",0.001,0.095,0.082,0.053,0.327,0.125,0.049,1
"72",0,0.114,0.111,0.099,0.033,0.006,0.003,2
"73",0.009,0.1,0.095,0.063,0.386,0.197,0.086,1
"74",0,0.115,0.112,0.105,0.037,0.007,0.004,2
"75",0,0.119,0.118,0.116,0.057,0.006,0.003,2
"76",0,0.118,0.116,0.112,0.049,0.006,0.003,2
"77",0,0.119,0.123,0.115,0.033,0.005,0.002,2
"78",0,0.097,0.091,0.057,0.375,0.165,0.067,1
"79",0,0.118,0.116,0.11,0.044,0.006,0.003,2
"80",0.04,0.097,0.088,0.059,0.361,0.162,0.07,1
"81",0,0.12,0.118,0.118,0.065,0.007,0.004,2
"82",0,0.114,0.113,0.103,0.032,0.005,0.003,2
"83",0,0.117,0.113,0.119,0.078,0.011,0.006,2
"84",0,0.109,0.097,0.081,0.294,0.256,0.13,1
"85",0,0.119,0.116,0.112,0.045,0.006,0.003,2
"86",0,0.093,0.081,0.049,0.417,0.117,0.037,1
"87",0,0.097,0.099,0.056,0.423,0.167,0.062,1
"88",0,0.103,0.097,0.081,0.355,0.233,0.111,1
"89",0.064,0.105,0.095,0.077,0.313,0.2,0.105,1
"90",0,0.098,0.097,0.059,0.441,0.166,0.063,1
"91",0,0.105,0.091,0.073,0.255,0.142,0.07,3
"92",0,0.119,0.118,0.116,0.073,0.019,0.008,2
"93",0,0.113,0.109,0.101,0.046,0.012,0.005,2
"94",0,0.118,0.116,0.114,0.049,0.006,0.003,2
"95",0,0.116,0.113,0.121,0.062,0.006,0.002,2
"96",0,0.114,0.113,0.101,0.031,0.005,0.002,2
"97",0,0.119,0.122,0.116,0.035,0.005,0.003,2
"98",0,0.105,0.099,0.084,0.334,0.237,0.11,1
"99",0,0.115,0.112,0.106,0.051,0.008,0.004,2
"100",0,0.095,0.095,0.055,0.427,0.165,0.063,1
"101",0.006,0.093,0.078,0.047,0.404,0.118,0.038,1
"102",0,0.119,0.117,0.112,0.078,0.007,0.004,2
"103",0.064,0.104,0.094,0.071,0.34,0.18,0.089,1
"104",0.005,0.093,0.081,0.048,0.349,0.123,0.045,1
"105",0,0.118,0.115,0.109,0.043,0.006,0.003,2
"106",0.028,0.097,0.089,0.063,0.354,0.168,0.071,1
"107",0.001,0.1,0.091,0.07,0.342,0.215,0.106,1
"108",0.029,0.098,0.083,0.064,0.284,0.187,0.09,1
"109",0.003,0.095,0.077,0.051,0.33,0.101,0.035,1
"110",0,0.095,0.095,0.056,0.436,0.174,0.067,1
"111",0,0.115,0.112,0.107,0.039,0.007,0.004,2
"112",0,0.119,0.116,0.113,0.046,0.006,0.003,2
"113",0.004,0.103,0.095,0.071,0.343,0.223,0.105,1
"114",0.074,0.103,0.093,0.078,0.307,0.199,0.095,1
"115",0,0.115,0.113,0.109,0.049,0.007,0.004,2
"116",0,0.117,0.115,0.122,0.054,0.005,0.003,2
"117",0,0.098,0.097,0.06,0.395,0.169,0.068,1
"118",0.08,0.093,0.081,0.055,0.351,0.154,0.061,1
"119",0,0.114,0.112,0.101,0.031,0.004,0.002,2
"120",0,0.1,0.086,0.068,0.273,0.171,0.083,1
"121",0.016,0.104,0.091,0.079,0.304,0.217,0.109,1
"122",0,0.098,0.099,0.064,0.42,0.181,0.073,1
"123",0,0.101,0.091,0.069,0.322,0.21,0.101,1
"124",0,0.119,0.117,0.112,0.082,0.008,0.003,2
"125",0,0.117,0.114,0.113,0.05,0.006,0.003,2
"126",0.005,0.091,0.081,0.048,0.378,0.113,0.037,1
"127",0,0.115,0.112,0.107,0.046,0.005,0.003,2
"128",0,0.093,0.081,0.052,0.357,0.123,0.046,1
"129",0,0.1,0.098,0.065,0.372,0.186,0.079,1
"130",0.002,0.095,0.092,0.052,0.44,0.157,0.056,1
"131",0,0.115,0.111,0.109,0.04,0.008,0.005,2
"132",0.003,0.099,0.09,0.063,0.309,0.181,0.088,1
"133",0,0.092,0.083,0.05,0.383,0.113,0.037,1
"134",0,0.118,0.116,0.113,0.048,0.006,0.003,2
"135",0.09,0.092,0.08,0.05,0.398,0.147,0.055,1
"136",0,0.113,0.112,0.101,0.033,0.005,0.002,2
"137",0,0.093,0.079,0.048,0.403,0.116,0.037,1
"138",0,0.116,0.114,0.111,0.05,0.006,0.003,2
"139",0,0.1,0.093,0.071,0.312,0.184,0.088,1
"140",0,0.12,0.118,0.115,0.087,0.008,0.004,2
"141",0,0.115,0.111,0.116,0.063,0.01,0.006,2
"142",0.019,0.093,0.084,0.053,0.399,0.156,0.062,1
"143",0,0.099,0.088,0.06,0.358,0.182,0.078,1
"144",0,0.118,0.121,0.112,0.034,0.006,0.003,2
"145",0,0.092,0.084,0.049,0.383,0.113,0.036,1
"146",0,0.113,0.108,0.103,0.056,0.019,0.008,2
"147",0.046,0.099,0.09,0.063,0.354,0.184,0.077,1
"148",0,0.118,0.116,0.122,0.051,0.005,0.003,2
"149",0,0.115,0.111,0.111,0.045,0.008,0.004,2
