"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.04,0.012,0.026,0.018,0.159,0.082,0.046,1
"2",0.089,0.028,0.063,0.055,0.351,0.27,0.162,1
"3",0.034,0.02,0.046,0.036,0.263,0.177,0.096,1
"4",0.03,0.03,0.062,0.053,0.36,0.28,0.17,1
"5",0.037,0.021,0.045,0.039,0.295,0.239,0.135,1
"6",0.093,0.029,0.073,0.059,0.386,0.302,0.174,1
"7",0.063,0.015,0.028,0.017,0.153,0.077,0.041,1
"8",0.031,0.025,0.057,0.048,0.354,0.26,0.15,1
"9",0.053,0.023,0.059,0.046,0.365,0.238,0.127,1
"10",0.019,0.028,0.055,0.046,0.339,0.235,0.129,1
"11",0.047,0.027,0.057,0.053,0.298,0.258,0.153,1
"12",0.025,0.028,0.058,0.056,0.307,0.275,0.169,1
"13",0.089,0.026,0.055,0.034,0.511,0.243,0.117,1
"14",0.059,0.031,0.065,0.058,0.353,0.266,0.161,1
"15",0.049,0.013,0.02,0.019,0.084,0.065,0.041,1
"16",0.077,0.026,0.044,0.042,0.19,0.133,0.06,1
"17",0.048,0.026,0.057,0.039,0.384,0.251,0.135,1
"18",0.023,0.023,0.067,0.044,0.452,0.276,0.141,1
"19",0.036,0.043,0.076,0.066,0.356,0.236,0.133,1
"20",0.019,0.009,0.016,0.015,0.048,0.046,0.03,1
"21",0.077,0.023,0.052,0.041,0.343,0.24,0.134,1
"22",0.042,0.063,0.09,0.077,0.402,0.282,0.161,1
"23",0.015,0.014,0.028,0.02,0.108,0.075,0.045,1
"24",0.029,0.026,0.051,0.053,0.26,0.239,0.151,1
"25",0.013,0.027,0.066,0.042,0.467,0.271,0.139,1
"26",0.011,0.025,0.067,0.046,0.403,0.271,0.142,1
"27",0.029,0.03,0.067,0.059,0.368,0.295,0.173,1
"28",0.002,0.024,0.065,0.038,0.429,0.242,0.122,1
"29",0.015,0.032,0.071,0.055,0.385,0.248,0.131,1
"30",0,0.02,0.039,0.036,0.193,0.152,0.09,1
"31",0.067,0.022,0.053,0.029,0.498,0.251,0.119,1
"32",0.047,0.012,0.022,0.019,0.125,0.069,0.037,1
"33",0.029,0.027,0.055,0.053,0.319,0.272,0.165,1
"34",0.078,0.028,0.063,0.052,0.368,0.273,0.158,1
"35",0.083,0.026,0.071,0.047,0.433,0.293,0.159,1
"36",0.005,0.025,0.057,0.048,0.332,0.235,0.136,1
"37",0.076,0.011,0.019,0.014,0.102,0.056,0.034,1
"38",0.099,0.026,0.057,0.051,0.341,0.278,0.164,1
"39",0.028,0.058,0.101,0.088,0.442,0.25,0.137,1
"40",0.029,0.013,0.024,0.02,0.081,0.062,0.033,1
"41",0.058,0.021,0.06,0.031,0.494,0.259,0.125,1
"42",0.045,0.028,0.065,0.057,0.364,0.277,0.157,1
"43",0.056,0.016,0.049,0.028,0.389,0.195,0.093,1
"44",0.028,0.027,0.061,0.049,0.376,0.287,0.169,1
"45",0.038,0.023,0.054,0.038,0.389,0.257,0.142,1
"46",0,0.027,0.073,0.043,0.477,0.261,0.132,1
"47",0.065,0.027,0.056,0.049,0.304,0.255,0.153,1
"48",0,0.015,0.027,0.024,0.126,0.084,0.05,1
"49",0.01,0.027,0.06,0.056,0.333,0.274,0.164,1
"50",0.018,0.027,0.063,0.05,0.35,0.262,0.152,1
"51",0.023,0.027,0.056,0.055,0.314,0.265,0.155,1
"52",0.064,0.032,0.063,0.062,0.302,0.304,0.201,1
"53",0.005,0.029,0.065,0.054,0.374,0.276,0.162,1
"54",0,0.029,0.064,0.052,0.38,0.276,0.158,1
"55",0.008,0.028,0.063,0.05,0.371,0.29,0.168,1
"56",0.001,0.028,0.069,0.043,0.482,0.286,0.149,1
"57",0.052,0.024,0.065,0.04,0.443,0.264,0.137,1
"58",0.021,0.032,0.059,0.056,0.311,0.269,0.168,1
"59",0.047,0.028,0.074,0.053,0.442,0.261,0.135,1
"60",0.005,0.023,0.061,0.034,0.44,0.244,0.124,1
"61",0.048,0.026,0.06,0.043,0.39,0.256,0.14,1
"62",0.027,0.025,0.068,0.044,0.46,0.261,0.131,1
"63",0.086,0.03,0.071,0.068,0.34,0.216,0.117,1
"64",0.065,0.026,0.065,0.048,0.381,0.277,0.146,1
"65",0.005,0.024,0.065,0.038,0.426,0.249,0.127,1
"66",0.027,0.025,0.059,0.042,0.424,0.283,0.159,1
"67",0.026,0.017,0.037,0.034,0.18,0.156,0.096,1
"68",0.071,0.014,0.022,0.018,0.094,0.066,0.04,1
"69",0.072,0.029,0.064,0.056,0.296,0.215,0.119,1
"70",0.015,0.02,0.055,0.039,0.388,0.231,0.116,1
"71",0.019,0.033,0.066,0.05,0.42,0.239,0.122,1
"72",0.007,0.026,0.057,0.052,0.316,0.269,0.162,1
"73",0.013,0.024,0.05,0.045,0.297,0.257,0.155,1
"74",0,0.015,0.037,0.022,0.345,0.193,0.088,1
"75",0.034,0.027,0.057,0.056,0.306,0.254,0.156,1
"76",0.023,0.027,0.061,0.047,0.402,0.271,0.147,1
"77",0.051,0.028,0.061,0.05,0.363,0.28,0.16,1
"78",0.008,0.028,0.065,0.046,0.383,0.253,0.141,1
"79",0.049,0.034,0.064,0.061,0.312,0.286,0.186,1
"80",0.064,0.03,0.07,0.059,0.388,0.269,0.154,1
"81",0.001,0.012,0.022,0.019,0.084,0.071,0.043,1
"82",0.095,0.024,0.056,0.041,0.371,0.265,0.149,1
"83",0,0.17,0.193,0.191,0.499,0.375,0.267,1
