"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.076,0.015,0.041,0.025,0.354,0.172,0.079,1
"2",0.027,0.023,0.063,0.041,0.42,0.24,0.12,1
"3",0.007,0.112,0.142,0.12,0.464,0.321,0.219,1
"4",0.002,0.058,0.09,0.062,0.478,0.289,0.164,1
"5",0.01,0.123,0.158,0.152,0.441,0.349,0.249,1
"6",0.001,0.063,0.107,0.109,0.441,0.309,0.173,1
"7",0.077,0.024,0.041,0.04,0.169,0.122,0.055,1
"8",0.034,0.023,0.049,0.038,0.332,0.208,0.11,1
"9",0.009,0.086,0.109,0.104,0.42,0.271,0.166,1
"10",0.071,0.011,0.019,0.015,0.079,0.05,0.027,1
"11",0.019,0.159,0.166,0.158,0.458,0.311,0.232,1
"12",0.043,0.402,0.412,0.413,0.582,0.554,0.556,1
"13",0.001,0.066,0.102,0.075,0.502,0.31,0.185,1
"14",0,0.059,0.088,0.08,0.397,0.285,0.167,1
"15",0.002,0.398,0.413,0.415,0.589,0.578,0.55,1
"16",0,0.042,0.072,0.055,0.386,0.271,0.159,1
"17",0.018,0.084,0.126,0.099,0.499,0.311,0.202,1
"18",0,0.209,0.207,0.209,0.416,0.391,0.32,1
"19",0.068,0.285,0.293,0.289,0.507,0.425,0.37,1
"20",0.002,0.09,0.108,0.112,0.314,0.352,0.243,1
"21",0.012,0.013,0.025,0.022,0.095,0.096,0.052,1
"22",0.004,0.049,0.084,0.069,0.381,0.326,0.201,1
"23",0.079,0.019,0.045,0.026,0.408,0.206,0.102,1
"24",0.002,0.372,0.381,0.381,0.54,0.504,0.495,1
"25",0.077,0.021,0.048,0.039,0.312,0.221,0.122,1
"26",0.044,0.423,0.44,0.44,0.602,0.587,0.573,1
"27",0.006,0.137,0.148,0.129,0.46,0.307,0.209,1
"28",0.092,0.03,0.059,0.053,0.333,0.259,0.151,1
"29",0.01,0.251,0.25,0.245,0.492,0.402,0.342,1
"30",0.031,0.023,0.053,0.046,0.322,0.239,0.137,1
"31",0.017,0.092,0.114,0.095,0.452,0.294,0.177,1
"32",0.01,0.274,0.29,0.278,0.485,0.402,0.354,1
"33",0,0.013,0.034,0.022,0.313,0.177,0.081,1
"34",0.009,0.465,0.441,0.44,0.568,0.517,0.516,1
"35",0.023,0.021,0.046,0.04,0.272,0.214,0.115,1
"36",0.002,0.025,0.058,0.047,0.338,0.236,0.131,1
"37",0.014,0.196,0.242,0.221,0.512,0.417,0.334,1
"38",0.065,0.024,0.051,0.047,0.276,0.235,0.14,1
"39",0.071,0.022,0.056,0.039,0.431,0.274,0.143,1
"40",0.001,0.135,0.166,0.146,0.453,0.333,0.227,1
"41",0.044,0.244,0.246,0.244,0.436,0.368,0.316,1
"42",0.045,0.398,0.402,0.393,0.536,0.499,0.493,1
"43",0,0.052,0.08,0.079,0.32,0.322,0.211,1
"44",0.044,0.024,0.044,0.048,0.161,0.093,0.049,1
"45",0.008,0.026,0.061,0.044,0.349,0.233,0.129,1
"46",0,0.053,0.067,0.057,0.157,0.13,0.089,1
"47",0.001,0.053,0.081,0.072,0.346,0.286,0.18,1
"48",0.059,0.083,0.089,0.104,0.299,0.341,0.232,1
"49",0.005,0.038,0.073,0.049,0.472,0.277,0.147,1
"50",0.015,0.036,0.069,0.042,0.467,0.252,0.125,1
"51",0.003,0.187,0.203,0.199,0.477,0.355,0.241,1
"52",0.011,0.379,0.413,0.409,0.591,0.572,0.533,1
"53",0,0.099,0.13,0.124,0.435,0.323,0.212,1
"54",0,0.031,0.066,0.056,0.346,0.302,0.192,1
"55",0.034,0.019,0.043,0.035,0.237,0.162,0.088,1
"56",0,0.023,0.032,0.04,0.135,0.159,0.088,1
"57",0.001,0.03,0.067,0.046,0.38,0.221,0.113,1
"58",0.008,0.215,0.233,0.222,0.479,0.386,0.312,1
"59",0,0.086,0.123,0.099,0.47,0.295,0.182,1
"60",0,0.082,0.116,0.091,0.465,0.309,0.191,1
"61",0.027,0.023,0.055,0.039,0.387,0.26,0.146,1
"62",0.045,0.026,0.061,0.054,0.331,0.254,0.143,1
"63",0.004,0.23,0.277,0.27,0.51,0.449,0.396,1
"64",0.001,0.227,0.247,0.239,0.503,0.403,0.317,1
"65",0.029,0.028,0.062,0.055,0.335,0.271,0.158,1
"66",0.049,0.032,0.059,0.057,0.283,0.263,0.17,1
"67",0.061,0.025,0.05,0.033,0.393,0.245,0.124,1
"68",0.031,0.025,0.056,0.052,0.308,0.227,0.127,1
"69",0,0.028,0.066,0.042,0.392,0.223,0.115,1
"70",0,0.048,0.081,0.075,0.38,0.341,0.206,1
"71",0.032,0.371,0.392,0.392,0.524,0.519,0.486,1
"72",0.033,0.063,0.089,0.069,0.416,0.248,0.14,1
"73",0.042,0.034,0.05,0.058,0.231,0.251,0.167,1
"74",0,0.013,0.032,0.025,0.283,0.191,0.095,1
"75",0.1,0.06,0.072,0.06,0.331,0.177,0.102,1
"76",0.003,0.161,0.171,0.157,0.438,0.31,0.246,1
"77",0.077,0.209,0.224,0.221,0.495,0.393,0.309,1
"78",0.013,0.022,0.046,0.043,0.268,0.236,0.142,1
"79",0.001,0.042,0.083,0.056,0.518,0.297,0.155,1
"80",0.08,0.16,0.201,0.212,0.41,0.326,0.24,1
"81",0.017,0.032,0.062,0.057,0.315,0.27,0.164,1
"82",0.002,0.114,0.142,0.112,0.439,0.305,0.201,1
"83",0.001,0.052,0.073,0.081,0.225,0.333,0.226,1
"84",0.003,0.069,0.108,0.115,0.444,0.308,0.173,1
"85",0,0.136,0.156,0.144,0.476,0.339,0.232,1
"86",0.042,0.059,0.084,0.073,0.367,0.259,0.147,1
"87",0.06,0.028,0.065,0.058,0.35,0.29,0.176,1
"88",0,0.123,0.144,0.129,0.472,0.344,0.244,1
"89",0.001,0.025,0.06,0.04,0.394,0.239,0.125,1
"90",0.076,0.01,0.017,0.014,0.087,0.051,0.032,1
"91",0.007,0.026,0.059,0.048,0.35,0.254,0.143,1
"92",0.002,0.107,0.134,0.126,0.46,0.318,0.191,1
"93",0.007,0.056,0.085,0.062,0.443,0.253,0.144,1
"94",0.011,0.026,0.057,0.05,0.292,0.249,0.148,1
"95",0,0.027,0.065,0.04,0.378,0.222,0.113,1
"96",0.064,0.029,0.058,0.058,0.274,0.28,0.184,1
"97",0,0.062,0.095,0.084,0.403,0.343,0.204,1
"98",0,0.074,0.116,0.12,0.441,0.316,0.181,1
"99",0.045,0.056,0.09,0.062,0.519,0.29,0.157,1
"100",0.033,0.075,0.1,0.075,0.446,0.272,0.163,1
"101",0.031,0.313,0.333,0.333,0.54,0.495,0.462,1
"102",0.034,0.043,0.067,0.062,0.311,0.311,0.189,1
"103",0.002,0.157,0.182,0.187,0.402,0.373,0.282,1
"104",0.016,0.142,0.177,0.164,0.484,0.346,0.251,1
"105",0.04,0.56,0.559,0.556,0.632,0.617,0.609,1
"106",0.002,0.094,0.129,0.127,0.424,0.3,0.19,1
"107",0.038,0.012,0.02,0.023,0.035,0.06,0.039,1
"108",0.01,0.026,0.06,0.051,0.345,0.263,0.146,1
"109",0.079,0.017,0.046,0.033,0.328,0.195,0.098,1
"110",0.054,0.009,0.017,0.015,0.038,0.047,0.03,1
"111",0.082,0.026,0.038,0.051,0.083,0.087,0.049,1
"112",0.037,0.113,0.139,0.135,0.337,0.28,0.207,1
"113",0.029,0.044,0.074,0.066,0.351,0.31,0.192,1
"114",0.022,0.26,0.275,0.268,0.475,0.403,0.364,1
"115",0.051,0.059,0.087,0.076,0.379,0.296,0.183,1
"116",0.025,0.097,0.135,0.136,0.396,0.28,0.176,1
"117",0.002,0.235,0.244,0.237,0.454,0.423,0.363,1
"118",0.031,0.375,0.381,0.376,0.523,0.482,0.466,1
"119",0.033,0.048,0.083,0.059,0.472,0.266,0.147,1
"120",0.087,0.025,0.057,0.047,0.321,0.241,0.135,1
"121",0.059,0.021,0.043,0.04,0.261,0.219,0.133,1
"122",0,0.159,0.181,0.18,0.457,0.345,0.244,1
"123",0.014,0.066,0.096,0.076,0.455,0.28,0.166,1
"124",0.039,0.381,0.391,0.392,0.571,0.544,0.527,1
"125",0.037,0.02,0.041,0.037,0.267,0.22,0.124,1
"126",0.025,0.304,0.308,0.302,0.493,0.43,0.399,1
"127",0.023,0.046,0.084,0.053,0.522,0.28,0.146,1
"128",0.096,0.019,0.039,0.023,0.317,0.168,0.084,1
"129",0,0.026,0.064,0.038,0.486,0.25,0.126,1
"130",0.095,0.022,0.052,0.039,0.338,0.243,0.137,1
"131",0,0.206,0.206,0.188,0.506,0.36,0.271,1
"132",0.034,0.357,0.373,0.365,0.549,0.502,0.497,1
"133",0.006,0.238,0.259,0.249,0.495,0.416,0.345,1
"134",0.016,0.047,0.077,0.075,0.328,0.347,0.22,1
"135",0.01,0.026,0.042,0.028,0.313,0.143,0.066,1
"136",0.03,0.046,0.061,0.068,0.228,0.296,0.194,1
"137",0.021,0.03,0.054,0.053,0.282,0.247,0.154,1
"138",0.007,0.236,0.282,0.264,0.526,0.461,0.395,1
"139",0,0.338,0.351,0.351,0.548,0.503,0.484,1
"140",0.05,0.013,0.015,0.015,0.081,0.058,0.029,1
"141",0.018,0.017,0.031,0.025,0.148,0.094,0.056,1
"142",0.002,0.099,0.123,0.108,0.408,0.322,0.218,1
"143",0.049,0.031,0.046,0.029,0.292,0.136,0.068,1
"144",0.018,0.025,0.058,0.048,0.318,0.24,0.139,1
"145",0.001,0.026,0.064,0.041,0.441,0.263,0.136,1
"146",0.019,0.008,0.014,0.015,0.037,0.042,0.028,1
"147",0,0.055,0.086,0.075,0.381,0.306,0.194,1
"148",0.048,0.024,0.056,0.041,0.355,0.236,0.128,1
"149",0.037,0.023,0.053,0.047,0.304,0.233,0.132,1
"150",0.02,0.053,0.084,0.064,0.401,0.263,0.158,1
"151",0.022,0.024,0.06,0.054,0.328,0.242,0.141,1
"152",0.086,0.014,0.024,0.022,0.1,0.078,0.045,1
"153",0.098,0.026,0.06,0.038,0.359,0.199,0.102,1
"154",0.088,0.363,0.377,0.378,0.556,0.519,0.48,1
"155",0,0.235,0.25,0.247,0.5,0.412,0.346,1
"156",0,0.104,0.138,0.12,0.455,0.346,0.226,1
"157",0.007,0.042,0.077,0.054,0.436,0.269,0.15,1
"158",0.007,0.379,0.396,0.397,0.566,0.533,0.522,1
"159",0.066,0.325,0.326,0.332,0.493,0.444,0.389,1
"160",0,0.162,0.165,0.172,0.384,0.373,0.278,1
"161",0.038,0.022,0.045,0.044,0.251,0.181,0.105,1
"162",0.018,0.168,0.178,0.163,0.456,0.333,0.263,1
"163",0.001,0.047,0.069,0.069,0.281,0.319,0.203,1
"164",0.005,0.023,0.06,0.036,0.389,0.229,0.116,1
"165",0.082,0.014,0.026,0.021,0.14,0.09,0.048,1
"166",0.024,0.018,0.033,0.028,0.19,0.135,0.075,1
"167",0.003,0.053,0.082,0.065,0.385,0.274,0.165,1
"168",0,0.032,0.07,0.053,0.377,0.22,0.113,1
"169",0,0.294,0.293,0.29,0.492,0.439,0.402,1
"170",0.014,0.062,0.112,0.075,0.509,0.288,0.174,1
"171",0,0.025,0.068,0.04,0.436,0.24,0.121,1
"172",0.048,0.065,0.087,0.09,0.284,0.339,0.232,1
"173",0.07,0.034,0.062,0.038,0.413,0.215,0.108,1
"174",0.031,0.091,0.149,0.19,0.401,0.318,0.198,1
"175",0.029,0.046,0.069,0.066,0.284,0.306,0.192,1
"176",0.003,0.179,0.203,0.19,0.507,0.375,0.287,1
"177",0.065,0.037,0.075,0.045,0.559,0.283,0.143,1
"178",0.01,0.018,0.045,0.032,0.311,0.225,0.119,1
"179",0.003,0.023,0.058,0.034,0.424,0.233,0.116,1
"180",0.031,0.014,0.023,0.017,0.118,0.06,0.027,1
"181",0.005,0.079,0.11,0.105,0.432,0.307,0.189,1
"182",0.015,0.115,0.148,0.134,0.47,0.337,0.236,1
"183",0,0.015,0.036,0.027,0.292,0.196,0.101,1
"184",0.079,0.023,0.047,0.043,0.306,0.226,0.129,1
"185",0.073,0.026,0.053,0.038,0.371,0.246,0.125,1
"186",0.036,0.052,0.078,0.072,0.333,0.287,0.174,1
"187",0,0.157,0.181,0.164,0.467,0.344,0.245,1
"188",0,0.067,0.109,0.085,0.491,0.301,0.174,1
"189",0.059,0.03,0.058,0.045,0.4,0.246,0.131,1
"190",0.057,0.048,0.073,0.07,0.309,0.294,0.18,1
"191",0.049,0.019,0.033,0.034,0.177,0.135,0.076,1
"192",0.003,0.11,0.131,0.126,0.437,0.316,0.221,1
"193",0.008,0.049,0.093,0.101,0.394,0.309,0.173,1
"194",0.002,0.058,0.088,0.082,0.38,0.285,0.175,1
"195",0.003,0.271,0.289,0.279,0.533,0.445,0.396,1
"196",0,0.118,0.138,0.116,0.486,0.321,0.217,1
"197",0.015,0.052,0.091,0.061,0.562,0.305,0.169,1
"198",0.051,0.026,0.056,0.047,0.331,0.257,0.147,1
"199",0.028,0.398,0.417,0.413,0.578,0.577,0.545,1
"200",0.032,0.014,0.023,0.021,0.085,0.067,0.042,1
"201",0.03,0.027,0.057,0.05,0.328,0.258,0.156,1
"202",0.033,0.069,0.091,0.089,0.352,0.34,0.223,1
"203",0,0.312,0.322,0.313,0.535,0.469,0.445,1
