"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0,0.374,0.45,0.419,0.018,0.009,0.009,1
"2",0,0.653,0.686,0.732,0.396,0.358,0.201,1
"3",0,0.491,0.561,0.536,0.366,0.389,0.24,1
"4",0,0.51,0.425,0.531,0.288,0.582,0.563,2
"5",0,0.378,0.452,0.422,0.015,0.006,0.008,1
"6",0,0.376,0.463,0.429,0.044,0.006,0.005,1
"7",0.034,0.437,0.39,0.45,0.545,0.421,0.338,1
"8",0,0.488,0.571,0.559,0.349,0.293,0.176,1
"9",0,0.355,0.428,0.396,0.022,0.006,0.007,1
"10",0.092,0.538,0.536,0.593,0.525,0.639,0.54,2
"11",0.005,0.461,0.439,0.516,0.431,0.38,0.314,1
"12",0,0.35,0.438,0.408,0.015,0.002,0.003,1
"13",0,0.39,0.458,0.424,0.044,0.008,0.007,1
"14",0,0.541,0.548,0.517,0.354,0.378,0.246,1
"15",0,0.36,0.454,0.421,0.005,0.003,0.002,1
"16",0,0.348,0.436,0.397,0.002,0.004,0.005,1
"17",0,0.338,0.42,0.382,0.011,0.004,0.003,1
"18",0,0.397,0.465,0.453,0.026,0.003,0.002,1
"19",0,0.372,0.453,0.424,0.037,0.003,0.002,1
"20",0,0.384,0.465,0.439,0.016,0.003,0.003,1
"21",0,0.378,0.458,0.426,0.026,0.004,0.005,1
"22",0,0.541,0.512,0.611,0.264,0.597,0.578,2
"23",0,0.464,0.373,0.471,0.256,0.6,0.551,2
"24",0,0.558,0.589,0.594,0.336,0.334,0.214,1
"25",0.069,0.153,0.17,0.146,0.781,0.421,0.243,1
"26",0,0.411,0.317,0.496,0.187,0.333,0.316,1
"27",0,0.637,0.668,0.697,0.403,0.357,0.187,1
"28",0,0.357,0.443,0.409,0.005,0,0,1
"29",0.02,0.159,0.267,0.144,0.95,0.43,0.226,1
"30",0,0.442,0.518,0.522,0.13,0.008,0.006,1
"31",0,0.484,0.43,0.539,0.247,0.552,0.532,2
"32",0.023,0.281,0.213,0.257,0.386,0.509,0.415,1
"33",0,0.55,0.588,0.581,0.368,0.378,0.235,1
"34",0,0.365,0.436,0.403,0.025,0.006,0.005,1
"35",0,0.322,0.41,0.37,0.017,0.003,0.004,1
"36",0.042,0.457,0.431,0.477,0.503,0.518,0.428,1
"37",0,0.336,0.42,0.38,0,0.001,0.004,1
"38",0,0.559,0.521,0.669,0.336,0.588,0.532,2
"39",0,0.489,0.459,0.55,0.235,0.542,0.541,2
"40",0,0.456,0.41,0.527,0.243,0.518,0.464,2
"41",0.011,0.446,0.408,0.462,0.442,0.457,0.372,1
"42",0,0.483,0.448,0.588,0.301,0.537,0.482,2
"43",0,0.381,0.473,0.441,0.087,0.008,0.006,1
"44",0,0.478,0.388,0.486,0.357,0.655,0.56,2
"45",0,0.387,0.461,0.438,0.038,0.003,0.003,1
"46",0,0.417,0.42,0.459,0.579,0.503,0.421,1
"47",0,0.384,0.469,0.439,0.049,0.005,0.004,1
"48",0,0.345,0.325,0.339,0.531,0.703,0.554,1
"49",0,0.355,0.456,0.418,0.1,0.01,0.01,1
"50",0,0.476,0.423,0.528,0.253,0.629,0.594,2
"51",0.01,0.235,0.234,0.263,0.653,0.395,0.265,1
"52",0,0.377,0.455,0.431,0.014,0.002,0.003,1
"53",0,0.467,0.548,0.492,0.388,0.37,0.219,1
"54",0,0.638,0.674,0.734,0.401,0.32,0.156,1
"55",0,0.365,0.385,0.409,0.367,0.248,0.21,1
"56",0,0.53,0.571,0.55,0.361,0.378,0.241,1
"57",0.001,0.501,0.523,0.527,0.526,0.36,0.201,1
"58",0,0.374,0.448,0.412,0.02,0.012,0.014,1
"59",0,0.393,0.472,0.455,0.05,0.004,0.002,1
"60",0,0.54,0.471,0.525,0.306,0.248,0.16,1
"61",0,0.381,0.462,0.436,0.019,0.001,0.002,1
"62",0,0.447,0.537,0.528,0.281,0.156,0.085,1
"63",0,0.571,0.492,0.581,0.372,0.601,0.529,2
"64",0,0.286,0.369,0.298,0.859,0.539,0.375,1
"65",0,0.492,0.572,0.52,0.387,0.379,0.23,1
"66",0,0.409,0.507,0.483,0.192,0.05,0.03,1
"67",0,0.348,0.439,0.393,0.029,0.003,0.004,1
"68",0,0.652,0.617,0.657,0.321,0.323,0.216,1
"69",0,0.506,0.512,0.507,0.368,0.395,0.265,1
"70",0,0.455,0.434,0.481,0.269,0.339,0.278,1
"71",0,0.35,0.438,0.406,0.004,0,0.003,1
"72",0.022,0.414,0.417,0.433,0.264,0.301,0.203,1
"73",0,0.408,0.49,0.488,0.058,0.002,0.001,1
"74",0,0.456,0.554,0.532,0.344,0.267,0.155,1
"75",0,0.362,0.438,0.399,0.083,0.021,0.012,1
"76",0,0.441,0.504,0.478,0.162,0.063,0.038,1
"77",0,0.408,0.35,0.457,0.224,0.465,0.401,2
"78",0,0.592,0.55,0.585,0.254,0.267,0.197,1
"79",0,0.658,0.697,0.748,0.398,0.326,0.162,1
"80",0,0.57,0.563,0.545,0.351,0.381,0.252,1
"81",0,0.556,0.475,0.585,0.292,0.576,0.53,2
"82",0,0.53,0.439,0.541,0.306,0.666,0.613,2
"83",0.017,0.315,0.415,0.326,0.833,0.573,0.401,1
"84",0,0.376,0.459,0.435,0.016,0.005,0.006,1
"85",0,0.356,0.432,0.399,0.034,0.007,0.008,1
"86",0,0.375,0.455,0.429,0.022,0.003,0.002,1
"87",0.02,0.436,0.453,0.498,0.558,0.495,0.419,1
"88",0,0.418,0.471,0.451,0.126,0.034,0.023,1
"89",0,0.5,0.542,0.498,0.372,0.387,0.247,1
"90",0.011,0.315,0.338,0.347,0.668,0.504,0.384,1
"91",0,0.341,0.42,0.389,0.007,0.002,0.002,1
"92",0,0.552,0.583,0.619,0.247,0.074,0.053,1
"93",0,0.401,0.473,0.443,0.053,0.009,0.008,1
"94",0,0.375,0.441,0.403,0.039,0.005,0.005,1
"95",0.027,0.454,0.425,0.427,0.371,0.318,0.189,1
"96",0,0.623,0.663,0.724,0.412,0.291,0.139,1
"97",0,0.508,0.528,0.493,0.356,0.377,0.246,1
"98",0,0.344,0.437,0.401,0.003,0.001,0.002,1
"99",0.008,0.448,0.501,0.478,0.157,0.044,0.027,1
"100",0,0.213,0.298,0.217,0.806,0.464,0.285,1
"101",0,0.643,0.674,0.721,0.394,0.329,0.18,1
"102",0,0.462,0.382,0.478,0.274,0.589,0.516,2
"103",0,0.606,0.624,0.672,0.334,0.272,0.158,1
"104",0,0.376,0.441,0.403,0.043,0.005,0.006,1
"105",0,0.51,0.565,0.585,0.214,0.062,0.039,1
"106",0,0.351,0.423,0.387,0.022,0.007,0.006,1
"107",0.115,0.581,0.617,0.673,0.434,0.28,0.13,1
"108",0.178,0.158,0.157,0.142,0.675,0.312,0.157,1
"109",0.122,0.195,0.183,0.176,0.774,0.356,0.193,1
"110",0.174,0.175,0.164,0.161,0.683,0.373,0.214,1
"111",0.116,0.601,0.556,0.639,0.35,0.335,0.234,1
"112",0.173,0.219,0.196,0.216,0.701,0.351,0.217,1
"113",0.12,0.275,0.215,0.241,0.462,0.475,0.372,1
"114",0.159,0.359,0.292,0.334,0.62,0.568,0.427,1
"115",0.105,0.412,0.481,0.46,0.14,0.03,0.023,1
"116",0.194,0.49,0.466,0.469,0.378,0.355,0.231,1
"117",0.159,0.397,0.372,0.414,0.52,0.53,0.43,1
"118",0.107,0.462,0.457,0.513,0.425,0.264,0.143,1
"119",0.111,0.343,0.26,0.303,0.557,0.476,0.334,1
"120",0.143,0.145,0.15,0.13,0.737,0.358,0.179,1
"121",0.169,0.335,0.328,0.333,0.419,0.281,0.185,1
"122",0.11,0.367,0.432,0.418,0.152,0.055,0.036,1
"123",0.153,0.474,0.411,0.474,0.491,0.438,0.362,1
"124",0.109,0.185,0.155,0.168,0.608,0.339,0.191,1
"125",0.173,0.258,0.303,0.249,0.696,0.328,0.162,1
"126",0.186,0.383,0.359,0.409,0.573,0.465,0.358,1
"127",0.157,0.211,0.173,0.168,0.603,0.367,0.22,1
"128",0.138,0.336,0.348,0.359,0.544,0.521,0.431,1
"129",0.136,0.22,0.182,0.193,0.483,0.374,0.276,1
"130",0.193,0.538,0.566,0.611,0.477,0.331,0.182,1
"131",0.199,0.359,0.477,0.461,0.404,0.219,0.109,1
"132",0.163,0.517,0.555,0.595,0.456,0.285,0.133,1
"133",0.14,0.465,0.455,0.46,0.391,0.353,0.226,1
"134",0.17,0.413,0.472,0.445,0.287,0.128,0.066,1
"135",0.151,0.031,0.028,0.035,0.757,0.266,0.109,1
"136",0.145,0.161,0.155,0.168,0.679,0.383,0.241,1
"137",0.17,0.374,0.44,0.419,0.2,0.056,0.031,1
"138",0.196,0.097,0.099,0.082,0.846,0.302,0.144,1
"139",0.151,0.387,0.453,0.423,0.262,0.085,0.057,1
"140",0.151,0.379,0.41,0.383,0.656,0.354,0.182,1
"141",0.126,0.406,0.338,0.419,0.52,0.615,0.506,1
"142",0.11,0.461,0.478,0.475,0.385,0.393,0.256,1
"143",0.126,0.358,0.441,0.408,0.235,0.075,0.043,1
"144",0.155,0.559,0.547,0.588,0.458,0.306,0.162,1
"145",0.12,0.439,0.461,0.429,0.411,0.338,0.21,1
"146",0.13,0.417,0.478,0.454,0.242,0.141,0.076,1
"147",0.164,0.454,0.535,0.516,0.419,0.268,0.128,1
"148",0.103,0.463,0.458,0.508,0.413,0.301,0.21,1
"149",0.138,0.287,0.228,0.271,0.394,0.542,0.435,1
"150",0.129,0.411,0.483,0.454,0.292,0.164,0.09,1
"151",0.117,0.554,0.563,0.593,0.412,0.316,0.169,1
"152",0.133,0.354,0.432,0.402,0.296,0.098,0.046,1
"153",0.193,0.033,0.041,0.042,0.733,0.265,0.108,1
"154",0.127,0.495,0.542,0.548,0.559,0.379,0.201,1
"155",0.116,0.301,0.377,0.361,0.421,0.248,0.112,1
"156",0.131,0.379,0.34,0.404,0.476,0.463,0.383,1
"157",0.129,0.342,0.412,0.386,0.46,0.343,0.189,1
"158",0.166,0.258,0.214,0.245,0.407,0.44,0.349,1
"159",0.175,0.175,0.159,0.155,0.67,0.326,0.181,1
"160",0.144,0.389,0.349,0.391,0.602,0.488,0.358,1
"161",0.102,0.357,0.434,0.42,0.24,0.048,0.026,1
"162",0.132,0.164,0.171,0.17,0.728,0.347,0.193,1
"163",0.193,0.334,0.415,0.397,0.171,0.046,0.028,1
"164",0.129,0.231,0.172,0.198,0.437,0.406,0.315,1
