"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0,0.827,0.886,0.856,0.03,0.005,0.008,1
"2",0,0.842,0.983,0.885,0.008,0.001,0.004,1
"3",0.043,0.514,0.468,0.504,0.446,0.796,0.751,1
"4",0,0.861,0.929,0.947,0.062,0.038,0.028,1
"5",0.04,0.339,0.396,0.378,0.512,0.701,0.545,1
"6",0,0.727,0.773,0.865,0.053,0.011,0.013,1
"7",0,0.832,0.882,0.847,0.029,0.007,0.009,1
"8",0,0.842,0.976,0.902,0.009,0.002,0.005,1
"9",0.081,0.354,0.32,0.292,0.507,0.472,0.352,1
"10",0.033,0.302,0.378,0.338,0.584,0.601,0.45,1
"11",0,0.239,0.429,0.19,0.789,0.57,0.347,1
"12",0.032,0.155,0.258,0.133,0.643,0.372,0.211,1
"13",0,0.838,0.976,0.866,0.007,0.003,0.004,1
"14",0.016,0.261,0.394,0.243,0.558,0.507,0.358,1
"15",0,0.326,0.599,0.262,0.802,0.602,0.377,1
"16",0,0.698,0.823,0.728,0,0,0,1
"17",0.022,0.249,0.386,0.197,0.717,0.5,0.304,1
"18",0.007,0.233,0.511,0.184,0.918,0.572,0.357,1
"19",0,0.192,0.318,0.147,0.746,0.39,0.205,1
"20",0,0.665,0.736,0.747,0.065,0.037,0.031,1
"21",0.006,0.187,0.259,0.129,0.779,0.402,0.209,1
"22",0.008,0.268,0.505,0.212,0.847,0.554,0.338,1
"23",0.018,0.149,0.272,0.127,0.69,0.401,0.221,1
"24",0.016,0.246,0.513,0.232,0.793,0.521,0.32,1
"25",0,0.84,0.995,0.895,0.008,0.002,0.006,1
"26",0,0.844,0.992,0.911,0.006,0.001,0.003,1
"27",0.006,0.173,0.327,0.126,0.823,0.416,0.219,1
"28",0,0.177,0.328,0.165,0.715,0.399,0.216,1
"29",0,0.339,0.379,0.337,0.571,0.71,0.568,1
"30",0,0.804,0.925,0.81,0.004,0.002,0.004,1
"31",0,0.244,0.5,0.196,0.9,0.567,0.34,1
"32",0.002,0.347,0.463,0.341,0.637,0.656,0.488,1
"33",0.031,0.271,0.53,0.194,0.919,0.56,0.327,1
"34",0,0.832,0.983,0.875,0.006,0.001,0.005,1
"35",0,0.864,0.95,1,0.04,0.01,0.014,1
"36",0.006,0.34,0.596,0.296,0.82,0.675,0.454,1
"37",0.064,0.354,0.478,0.336,0.675,0.611,0.447,1
"38",0,0.837,0.894,0.881,0.036,0.006,0.008,1
"39",0,0.831,0.887,0.872,0.033,0.005,0.005,1
"40",0.001,0.263,0.395,0.217,0.682,0.5,0.311,1
"41",0,0.805,0.941,0.825,0.006,0.003,0.004,1
"42",0,0.735,0.862,0.785,0.009,0.008,0.012,1
"43",0,0.84,0.921,0.946,0.032,0.003,0.005,1
"44",0.055,0.219,0.325,0.224,0.595,0.377,0.23,1
"45",0.001,0.176,0.297,0.139,0.753,0.384,0.197,1
"46",0,0.751,0.84,0.81,0.014,0.004,0.006,1
"47",0,0.849,0.905,0.913,0.069,0.007,0.009,1
"48",0,0.878,0.927,0.909,0.269,0.113,0.062,1
"49",0.037,0.251,0.482,0.19,0.87,0.528,0.308,1
"50",0.024,0.222,0.382,0.213,0.739,0.477,0.284,1
"51",0,0.902,0.973,0.992,0.043,0.014,0.017,1
"52",0,0.858,0.953,0.971,0.034,0.006,0.005,1
"53",0.008,0.231,0.438,0.167,0.912,0.565,0.34,1
"54",0,0.247,0.507,0.189,0.906,0.573,0.344,1
"55",0,0.335,0.657,0.342,0.735,0.661,0.462,1
"56",0,0.788,0.891,0.855,0.018,0.015,0.018,1
"57",0,0.178,0.323,0.152,0.748,0.398,0.207,1
"58",0,0.819,0.958,0.842,0.008,0.004,0.007,1
"59",0,0.236,0.479,0.155,0.962,0.558,0.332,1
"60",0,0.343,0.373,0.33,0.432,0.376,0.291,1
"61",0,0.845,0.895,0.877,0.1,0.008,0.01,1
"62",0,0.26,0.539,0.217,0.823,0.578,0.371,1
"63",0,0.705,0.771,0.831,0.054,0.014,0.01,1
"64",0.038,0.27,0.436,0.255,0.703,0.568,0.384,1
