"","Band_3","Band_4","Band_5","Band_6","Band_7","frci","Class","cluster"
"1",0.519,0.498,0.328,0.397,0.255,0,0,1
"2",0.441,0.414,0.074,0.005,0.003,0,0,1
"3",0.511,0.516,0.353,0.395,0.25,0.005,0,1
"4",0.024,0.029,0.743,0.271,0.107,0.078,0,1
"5",0.438,0.425,0.01,0.007,0.009,0,0,1
"6",0.49,0.48,0.328,0.406,0.267,0,0,1
"7",0.441,0.429,0.03,0.004,0.002,0,0,1
"8",0.607,0.657,0.358,0.335,0.173,0,0,1
"9",0.429,0.483,0.503,0.495,0.419,0.02,0,1
"10",0.402,0.527,0.258,0.659,0.596,0.001,0,1
"11",0.406,0.385,0.023,0.007,0.008,0,0,1
"12",0.434,0.418,0.084,0.008,0.005,0.004,0,1
"13",0.565,0.628,0.259,0.172,0.11,0,0,1
"14",0.399,0.369,0.034,0.004,0.003,0,0,1
"15",0.635,0.708,0.358,0.314,0.162,0,0,1
"16",0.402,0.226,0.85,0.61,0.382,0,0,2
"17",0.412,0.395,0.013,0.001,0.003,0,0,1
"18",0.42,0.4,0.023,0.001,0.001,0,0,1
"19",0.624,0.697,0.36,0.288,0.141,0,0,1
"20",0.652,0.726,0.363,0.318,0.161,0,0,1
"21",0.421,0.579,0.265,0.492,0.455,0,0,1
"22",0.365,0.321,0,0.001,0.004,0,0,1
"23",0.418,0.392,0.045,0.012,0.014,0.078,0,1
"24",0.425,0.41,0.008,0.002,0.003,0,0,1
"25",0.528,0.522,0.248,0.151,0.079,0.055,0,1
"26",0.408,0.39,0.009,0.001,0.001,0,0,1
"27",0.378,0.492,0.189,0.428,0.392,0,0,1
"28",0.408,0.378,0.039,0.006,0.006,0,0,1
"29",0.48,0.466,0.074,0.012,0.011,0,0,1
"30",0.409,0.388,0.107,0.037,0.023,0.075,0,1
"31",0.42,0.404,0.015,0.002,0.002,0,0,1
"32",0.603,0.666,0.34,0.372,0.222,0,0,1
"33",0.456,0.446,0.059,0.003,0.004,0,0,1
"34",0.432,0.406,0.017,0.009,0.012,0,0,1
"35",0.445,0.437,0.112,0.033,0.023,0,0,1
"36",0.409,0.392,0.006,0.002,0.004,0,0,1
"37",0.436,0.427,0.029,0.003,0.003,0,0,1
"38",0.433,0.408,0.059,0.007,0.006,0,0,1
"39",0.423,0.403,0.002,0.001,0,0,0,1
"40",0.656,0.738,0.374,0.32,0.158,0,0,1
"41",0.507,0.577,0.473,0.639,0.539,0.092,0,1
"42",0.618,0.652,0.365,0.342,0.172,0,0,1
"43",0.592,0.632,0.325,0.34,0.204,0,0,1
"44",0.438,0.256,0.884,0.6,0.388,0,0,2
"45",0.427,0.407,0.004,0.002,0.005,0,0,1
"46",0.396,0.37,0.008,0.003,0.003,0,0,1
"47",0.651,0.73,0.368,0.292,0.137,0,0,1
"48",0.363,0.462,0.281,0.672,0.593,0.004,0,1
"49",0.455,0.451,0.041,0.003,0.004,0,0,1
"50",0.43,0.412,0.013,0.002,0.004,0,0,1
"51",0.415,0.386,0.037,0.007,0.007,0,0,1
"52",0.526,0.527,0.319,0.405,0.271,0,0,1
"53",0.369,0.49,0.21,0.512,0.471,0,0,1
"54",0.509,0.527,0.326,0.365,0.232,0,0,1
"55",0.436,0.428,0.015,0.003,0.003,0,0,1
"56",0.466,0.617,0.315,0.595,0.536,0,0,1
"57",0.429,0.557,0.239,0.573,0.553,0,0,1
"58",0.407,0.405,0.11,0.029,0.02,0.002,0,1
"59",0.568,0.66,0.441,0.584,0.54,0.008,0,1
"60",0.564,0.612,0.391,0.357,0.193,0,0,1
"61",0.506,0.529,0.145,0.014,0.011,0,0,1
"62",0.502,0.521,0.159,0.024,0.016,0,0,1
"63",0.384,0.484,0.379,0.458,0.382,0.019,0,1
"64",0.524,0.466,0.356,0.383,0.231,0,0,1
"65",0.399,0.377,0.01,0.005,0.006,0,0,1
"66",0.533,0.518,0.338,0.389,0.243,0,0,1
"67",0.443,0.428,0.034,0.007,0.006,0,0,1
"68",0.447,0.427,0.077,0.008,0.006,0,0,1
"69",0.402,0.383,0.004,0.001,0,0,0,1
"70",0.477,0.529,0.308,0.387,0.261,0,0,1
"71",0.636,0.711,0.364,0.306,0.151,0,0,1
"72",0.509,0.514,0.308,0.244,0.131,0,0,1
"73",0.44,0.42,0.076,0.022,0.016,0,0,1
"74",0.561,0.618,0.251,0.178,0.112,0,0,1
"75",0.526,0.504,0.34,0.362,0.218,0,0,1
"76",0.544,0.547,0.32,0.363,0.23,0,0,1
"77",0.413,0.384,0,0.003,0.005,0,0,1
"78",0.416,0.385,0.033,0.005,0.004,0,0,1
"79",0.366,0.482,0.265,0.672,0.613,0,0,1
"80",0.503,0.599,0.367,0.553,0.497,0,0,1
"81",0.419,0.531,0.244,0.626,0.581,0,0,1
"82",0.313,0.399,0.216,0.477,0.426,0.001,0,1
"83",0.436,0.42,0.027,0.002,0.002,0,0,1
"84",0.519,0.509,0.319,0.377,0.248,0,0,1
"85",0.584,0.591,0.379,0.324,0.163,0.008,0,1
"86",0.458,0.471,0.019,0,0.001,0,0,1
"87",0.433,0.413,0.061,0.008,0.006,0,0,1
"88",0.475,0.493,0.077,0.006,0.006,0,0,1
"89",0.449,0.605,0.283,0.601,0.57,0,0,1
"90",0.591,0.65,0.339,0.339,0.187,0,0,1
"91",0.423,0.39,0.028,0.002,0.004,0,0,1
"92",0.404,0.371,0.059,0.014,0.013,0,0,1
"93",0.408,0.382,0.036,0.008,0.009,0,0,1
"94",0.327,0.396,0.464,0.443,0.357,0,0,1
"95",0.413,0.388,0.001,0,0.002,0,0,1
"96",0.337,0.464,0.357,0.39,0.32,0.017,0,1
"97",0.46,0.291,0.863,0.566,0.354,0,0,2
"98",0.572,0.608,0.314,0.389,0.253,0,0,1
"99",0.525,0.572,0.255,0.325,0.235,0,0,1
"100",0.452,0.456,0.105,0.014,0.013,0,0,1
"101",0.418,0.407,0.007,0.001,0.003,0,0,1
"102",0.506,0.527,0.136,0.012,0.012,0,0,1
"103",0.404,0.379,0.013,0.004,0.006,0,0,1
"104",0.421,0.521,0.372,0.504,0.433,0.014,0,1
"105",0.072,0.065,0.702,0.298,0.147,0.169,0.111,1
"106",0.478,0.473,0.411,0.298,0.147,0.162,0.111,1
"107",0.584,0.655,0.391,0.28,0.13,0.115,0.111,1
"108",0.389,0.405,0.317,0.342,0.228,0.147,0.111,1
"109",0.416,0.406,0.179,0.055,0.031,0.169,0.111,1
"110",0.44,0.42,0.338,0.327,0.215,0.107,0.111,1
"111",0.456,0.455,0.357,0.397,0.255,0.103,0.111,1
"112",0.275,0.323,0.559,0.567,0.426,0.158,0.111,1
"113",0.154,0.153,0.616,0.373,0.213,0.173,0.111,1
"114",0.241,0.269,0.437,0.447,0.352,0.104,0.111,1
"115",0.513,0.533,0.505,0.379,0.201,0.127,0.111,1
"116",0.43,0.446,0.352,0.352,0.226,0.14,0.111,1
"117",0.31,0.348,0.517,0.598,0.475,0.141,0.111,1
"118",0.15,0.136,0.711,0.358,0.182,0.183,0.111,1
"119",0.436,0.416,0.371,0.337,0.21,0.119,0.111,1
"120",0.267,0.305,0.344,0.24,0.145,0.173,0.111,1
"121",0.286,0.239,0.628,0.328,0.162,0.173,0.111,1
"122",0.433,0.493,0.372,0.301,0.21,0.103,0.111,1
"123",0.161,0.161,0.657,0.347,0.193,0.132,0.111,1
"124",0.511,0.509,0.332,0.369,0.234,0.154,0.111,1
"125",0.319,0.406,0.469,0.615,0.506,0.126,0.111,1
"126",0.393,0.385,0.178,0.08,0.044,0.157,0.111,1
"127",0.356,0.349,0.379,0.247,0.112,0.116,0.111,1
"128",0.37,0.451,0.492,0.562,0.44,0.144,0.111,1
"129",0.141,0.122,0.665,0.357,0.179,0.142,0.111,1
"130",0.267,0.297,0.485,0.389,0.283,0.127,0.111,1
"131",0.432,0.498,0.383,0.264,0.143,0.107,0.111,1
"132",0.44,0.454,0.341,0.354,0.231,0.193,0.111,1
"133",0.447,0.432,0.15,0.039,0.028,0.113,0.111,1
"134",0.185,0.207,0.632,0.35,0.217,0.173,0.111,1
"135",0.526,0.621,0.315,0.335,0.234,0.116,0.111,1
"136",0.162,0.189,0.394,0.405,0.315,0.129,0.111,1
"137",0.447,0.431,0.258,0.127,0.066,0.169,0.111,1
"138",0.171,0.184,0.435,0.373,0.276,0.136,0.111,1
"139",0.466,0.506,0.353,0.346,0.225,0.116,0.111,1
"140",0.202,0.231,0.416,0.475,0.371,0.119,0.111,1
"141",0.518,0.572,0.413,0.306,0.162,0.155,0.111,1
"142",0.413,0.38,0.409,0.389,0.231,0.171,0.111,1
"143",0.446,0.423,0.197,0.072,0.045,0.129,0.111,1
"144",0.244,0.249,0.391,0.263,0.154,0.183,0.111,1
"145",0.389,0.374,0.414,0.343,0.189,0.128,0.111,1
"146",0.036,0.031,0.709,0.263,0.106,0.16,0.111,1
"147",0.172,0.167,0.699,0.355,0.193,0.122,0.111,1
"148",0.162,0.16,0.544,0.366,0.22,0.156,0.111,1
"149",0.41,0.406,0.215,0.048,0.026,0.102,0.111,1
"150",0.482,0.491,0.355,0.39,0.247,0.111,0.111,1
