"","frci","Band_7","Band_6","Band_5","Band_4","Band_3","Band_2","cluster"
"1",0.002,0.185,0.308,0.447,0.088,0.117,0.081,1
"2",0.057,0.163,0.287,0.458,0.115,0.137,0.124,1
"3",0.001,0.144,0.276,0.489,0.053,0.085,0.053,1
"4",0.059,0.138,0.226,0.324,0.081,0.085,0.069,1
"5",0,0.068,0.131,0.307,0.039,0.053,0.047,1
"6",0.032,0.121,0.235,0.461,0.052,0.088,0.055,1
"7",0,0.093,0.126,0.221,0.207,0.18,0.143,1
"8",0,0.064,0.123,0.296,0.04,0.051,0.046,1
"9",0.002,0.163,0.292,0.489,0.074,0.109,0.076,1
"10",0.015,0.13,0.247,0.438,0.051,0.087,0.057,1
"11",0,0.066,0.129,0.267,0.035,0.045,0.044,1
"12",0,0.07,0.136,0.302,0.04,0.054,0.045,1
"13",0.001,0.198,0.291,0.324,0.096,0.093,0.081,1
"14",0.024,0.149,0.265,0.408,0.07,0.086,0.066,1
"15",0,0.107,0.151,0.211,0.227,0.189,0.138,1
"16",0.003,0.027,0.028,0.046,0.053,0.063,0.065,1
"17",0.054,0.149,0.272,0.434,0.058,0.079,0.062,1
"18",0.093,0.059,0.095,0.139,0.062,0.067,0.066,1
"19",0.002,0.177,0.266,0.317,0.108,0.107,0.081,1
"20",0.047,0.121,0.242,0.441,0.04,0.076,0.04,1
"21",0.042,0.151,0.282,0.491,0.058,0.089,0.063,1
"22",0.083,0.152,0.213,0.268,0.14,0.135,0.103,1
"23",0.001,0.159,0.285,0.482,0.072,0.108,0.081,1
"24",0,0.172,0.287,0.401,0.079,0.097,0.072,1
"25",0,0.054,0.081,0.239,0.16,0.13,0.096,1
"26",0,0.093,0.126,0.208,0.157,0.139,0.119,1
"27",0,0.055,0.074,0.123,0.079,0.076,0.078,1
"28",0,0.027,0.026,0.109,0.089,0.092,0.07,1
"29",0,0.036,0.046,0.09,0.06,0.069,0.068,1
"30",0.095,0.106,0.217,0.408,0.031,0.064,0.033,1
"31",0,0.206,0.287,0.309,0.131,0.135,0.111,1
"32",0,0.068,0.139,0.328,0.04,0.053,0.046,1
"33",0,0.154,0.24,0.356,0.092,0.115,0.093,1
"34",0,0.079,0.155,0.343,0.042,0.057,0.049,1
"35",0.003,0.138,0.247,0.414,0.064,0.083,0.059,1
"36",0,0.095,0.189,0.439,0.046,0.065,0.054,1
"37",0,0.086,0.116,0.22,0.193,0.17,0.144,1
"38",0,0.058,0.062,0.125,0.106,0.1,0.09,1
"39",0,0.078,0.15,0.327,0.045,0.061,0.051,1
"40",0,0.083,0.169,0.377,0.043,0.061,0.049,1
"41",0.015,0.122,0.243,0.461,0.049,0.08,0.059,1
"42",0,0.081,0.151,0.33,0.045,0.058,0.052,1
"43",0,0.084,0.162,0.33,0.04,0.056,0.049,1
"44",0.036,0.13,0.251,0.445,0.059,0.092,0.06,1
"45",0.016,0.196,0.279,0.342,0.123,0.127,0.101,1
"46",0.041,0.107,0.156,0.255,0.094,0.103,0.09,1
"47",0,0.167,0.252,0.291,0.191,0.172,0.119,1
"48",0,0.072,0.136,0.304,0.038,0.049,0.044,1
"49",0,0.081,0.167,0.375,0.042,0.061,0.048,1
"50",0,0.078,0.146,0.277,0.038,0.05,0.045,1
"51",0.001,0.064,0.078,0.168,0.16,0.146,0.118,1
"52",0,0.185,0.313,0.427,0.072,0.091,0.069,1
"53",0,0.219,0.306,0.364,0.16,0.17,0.157,1
"54",0.003,0.149,0.278,0.535,0.071,0.108,0.084,1
"55",0,0.076,0.144,0.319,0.04,0.055,0.048,1
"56",0,0.234,0.347,0.34,0.112,0.111,0.08,1
"57",0,0.086,0.166,0.354,0.042,0.055,0.049,1
"58",0.001,0.143,0.251,0.425,0.083,0.114,0.093,1
"59",0,0.207,0.31,0.337,0.114,0.113,0.086,1
"60",0.062,0.135,0.275,0.521,0.039,0.081,0.04,1
"61",0.085,0.16,0.256,0.317,0.073,0.086,0.069,1
"62",0.02,0.145,0.3,0.584,0.05,0.105,0.044,1
"63",0,0.15,0.231,0.24,0.191,0.157,0.122,1
"64",0,0.078,0.152,0.312,0.037,0.049,0.046,1
"65",0.071,0.307,0.334,0.299,0.233,0.222,0.184,1
"66",0.003,0.266,0.402,0.392,0.1,0.109,0.086,1
"67",0.055,0.127,0.245,0.463,0.056,0.09,0.064,1
"68",0.023,0.221,0.34,0.36,0.096,0.102,0.074,1
"69",0.003,0.13,0.231,0.451,0.073,0.102,0.087,1
"70",0,0.082,0.117,0.228,0.213,0.18,0.138,1
"71",0,0.125,0.19,0.218,0.195,0.154,0.113,1
"72",0,0.072,0.143,0.304,0.041,0.055,0.049,1
"73",0,0.095,0.187,0.417,0.049,0.068,0.057,1
"74",0,0.097,0.179,0.367,0.045,0.064,0.055,1
"75",0,0.039,0.039,0.103,0.172,0.148,0.114,1
"76",0.018,0.126,0.258,0.532,0.047,0.083,0.053,1
"77",0.002,0.286,0.391,0.309,0.123,0.112,0.099,1
"78",0,0.041,0.052,0.114,0.187,0.169,0.127,1
"79",0,0.143,0.202,0.209,0.178,0.144,0.108,1
"80",0,0.089,0.13,0.222,0.114,0.103,0.084,1
"81",0,0.466,0.522,0.523,0.41,0.42,0.398,1
"82",0.027,0.142,0.253,0.447,0.074,0.109,0.087,1
"83",0,0.048,0.078,0.23,0.168,0.136,0.103,1
"84",0,0.134,0.253,0.433,0.052,0.088,0.057,1
"85",0,0.123,0.234,0.372,0.044,0.057,0.036,1
"86",0.006,0.268,0.342,0.418,0.238,0.243,0.239,1
"87",0.024,0.246,0.366,0.35,0.101,0.098,0.082,1
"88",0,0.163,0.254,0.287,0.248,0.2,0.15,1
"89",0,0.107,0.175,0.257,0.101,0.103,0.075,1
"90",0,0.081,0.102,0.221,0.191,0.164,0.133,1
"91",0,0.088,0.169,0.344,0.048,0.062,0.053,1
"92",0.06,0.113,0.156,0.256,0.184,0.169,0.132,1
"93",0.002,0.125,0.251,0.509,0.047,0.073,0.059,1
"94",0,0.122,0.193,0.257,0.219,0.171,0.122,1
"95",0,0.186,0.324,0.503,0.075,0.103,0.074,1
"96",0,0.119,0.194,0.248,0.194,0.155,0.115,1
