"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0,0.673,0.708,0.929,0.327,0.274,0.185,3
"2",0,0.276,0.202,0.208,0.112,0.132,0.164,1
"3",0,0.457,0.415,0.302,0.056,0.126,0.184,1
"4",0,0.058,0.045,0.068,0.023,0.04,0.035,2
"5",0,0.718,0.731,0.936,0.324,0.495,0.464,3
"6",0,0.515,0.494,0.364,0.071,0.146,0.212,1
"7",0.057,0.405,0.389,0.367,0.172,0.166,0.201,1
"8",0,0.294,0.198,0.2,0.11,0.136,0.171,1
"9",0,0.251,0.157,0.168,0.109,0.137,0.169,1
"10",0,0.127,0.121,0.156,0,0.016,0.02,2
"11",0,0.499,0.465,0.343,0.065,0.139,0.202,1
"12",0,0.296,0.189,0.206,0.117,0.147,0.181,1
"13",0,0.533,0.502,0.379,0.07,0.146,0.215,1
"14",0,0.525,0.508,0.38,0.072,0.143,0.206,1
"15",0,0.084,0.025,0.06,0.01,0,0,2
"16",0,0.289,0.182,0.186,0.118,0.149,0.189,1
"17",0,0.263,0.166,0.174,0.115,0.146,0.18,1
"18",0,0.38,0.334,0.302,0.107,0.14,0.182,1
"19",0,0.67,0.715,0.943,0.35,0.198,0.149,3
"20",0,0.475,0.422,0.3,0.057,0.129,0.194,1
"21",0,0.129,0.094,0.119,0.004,0.015,0.017,2
"22",0,0.495,0.454,0.335,0.063,0.137,0.193,1
"23",0,0.741,0.781,1,0.376,0.512,0.368,3
"24",0,0.682,0.698,0.881,0.344,0.453,0.33,3
"25",0,0.254,0.166,0.167,0.108,0.137,0.163,1
"26",0.006,0.271,0.176,0.176,0.142,0.19,0.212,1
"27",0,0.282,0.191,0.197,0.107,0.126,0.157,1
"28",0,0.276,0.166,0.184,0.108,0.141,0.177,1
"29",0,0.298,0.243,0.32,0.155,0.269,0.265,1
"30",0,0.122,0.1,0.121,0.001,0.013,0.017,2
"31",0,0.233,0.144,0.158,0.093,0.112,0.136,1
"32",0,0.271,0.18,0.192,0.088,0.104,0.132,1
"33",0,0.267,0.192,0.234,0.122,0.125,0.143,1
"34",0,0.263,0.169,0.169,0.129,0.16,0.196,1
"35",0.001,0.341,0.294,0.258,0.138,0.161,0.19,1
"36",0,0.261,0.164,0.175,0.11,0.144,0.18,1
"37",0,0.313,0.203,0.208,0.096,0.126,0.161,1
"38",0,0.297,0.209,0.215,0.074,0.091,0.14,1
"39",0,0.292,0.214,0.211,0.112,0.141,0.175,1
"40",0,0.685,0.737,0.961,0.35,0.315,0.218,3
"41",0.023,0.122,0.11,0.109,0.187,0.202,0.163,1
"42",0,0.416,0.317,0.289,0.143,0.182,0.229,1
"43",0,0.45,0.373,0.355,0.1,0.159,0.21,1
"44",0,0.292,0.213,0.21,0.114,0.135,0.173,1
"45",0,0.082,0.055,0.081,0.022,0.052,0.029,2
"46",0,0.397,0.328,0.289,0.137,0.173,0.216,1
"47",0,0.736,0.753,0.982,0.362,0.343,0.247,3
"48",0.023,0.44,0.372,0.362,0.111,0.122,0.189,1
"49",0.138,0.086,0.075,0.077,0.191,0.177,0.121,1
"50",0.176,0.607,0.608,0.734,0.352,0.634,0.565,1
"51",0.161,0.34,0.31,0.253,0.278,0.286,0.277,1
"52",0.112,0.474,0.394,0.37,0.127,0.125,0.19,1
"53",0.155,0.504,0.519,0.367,0.853,0.962,0.763,1
"54",0.113,0.377,0.351,0.307,0.161,0.157,0.184,1
"55",0.162,0.084,0.075,0.062,0.26,0.205,0.153,1
"56",0.112,0.097,0.139,0.134,0.3,0.293,0.198,1
"57",0.197,0.362,0.379,0.358,0.295,0.29,0.281,1
"58",0.151,0.575,0.615,0.562,0.603,0.741,0.651,1
"59",0.176,0.25,0.161,0.149,0.165,0.188,0.209,1
"60",0.163,0.532,0.54,0.474,0.619,0.655,0.512,1
"61",0.189,0.381,0.318,0.291,0.246,0.247,0.261,1
"62",0.158,0.163,0.179,0.198,0.232,0.249,0.199,1
"63",0.156,0.108,0.153,0.12,0.293,0.2,0.138,1
"64",0.159,0.689,0.71,0.689,0.516,0.651,0.576,1
"65",0.126,0.087,0.104,0.101,0.179,0.185,0.135,1
"66",0.199,0.644,0.619,0.63,0.447,0.642,0.544,1
"67",0.139,0.312,0.258,0.252,0.313,0.309,0.293,1
"68",0.135,0.372,0.299,0.329,0.236,0.215,0.232,1
"69",0.115,0.291,0.222,0.234,0.126,0.157,0.174,1
"70",0.17,0.331,0.251,0.265,0.119,0.15,0.195,1
"71",0.16,0.259,0.196,0.159,0.335,0.278,0.255,1
"72",0.162,0.012,0,0.017,0.192,0.138,0.115,1
"73",0.149,0.221,0.184,0.194,0.213,0.214,0.159,1
"74",0.185,0.602,0.587,0.529,0.62,0.684,0.595,1
"75",0.178,0.428,0.404,0.378,0.387,0.403,0.372,1
"76",0.139,0.145,0.141,0.193,0.179,0.122,0.115,1
"77",0.19,0.423,0.41,0.371,0.186,0.141,0.182,1
"78",0.135,0.16,0.152,0.171,0.201,0.187,0.17,1
"79",0.137,0.508,0.457,0.416,0.384,0.357,0.35,1
"80",0.151,0.307,0.244,0.25,0.256,0.174,0.181,1
"81",0.132,0.453,0.406,0.338,0.367,0.327,0.331,1
"82",0.176,0.331,0.309,0.282,0.269,0.269,0.248,1
"83",0.118,0.263,0.166,0.164,0.185,0.193,0.208,1
"84",0.172,0.359,0.345,0.302,0.314,0.278,0.252,1
"85",0.169,0.395,0.392,0.332,0.272,0.282,0.247,1
"86",0.2,0.098,0.164,0.13,0.38,0.315,0.206,1
"87",0.169,0.242,0.172,0.157,0.193,0.199,0.214,1
"88",0.194,0.441,0.526,0.328,0.951,0.964,0.751,1
"89",0.151,0.493,0.579,0.364,0.91,0.952,0.768,1
"90",0.157,0.726,0.689,0.726,0.42,0.728,0.633,1
"91",0.172,0.402,0.4,0.341,0.257,0.27,0.258,1
"92",0.143,0.155,0.141,0.162,0.132,0.171,0.131,1
"93",0.122,0.345,0.306,0.307,0.318,0.258,0.244,1
"94",0.193,0.153,0.173,0.188,0.115,0.168,0.151,1
"95",0.124,0.198,0.172,0.169,0.319,0.277,0.244,1
"96",0.145,0.11,0.135,0.135,0.223,0.19,0.14,1
"97",0.104,0.326,0.249,0.255,0.194,0.17,0.185,1
"98",0.124,0.478,0.415,0.405,0.263,0.311,0.327,1
"99",0.111,0.313,0.299,0.283,0.187,0.165,0.187,1
"100",0.119,0.466,0.402,0.374,0.302,0.421,0.41,1
"101",0.163,0.108,0.119,0.124,0.176,0.178,0.14,1
"102",0.265,0.23,0.189,0.186,0.222,0.259,0.241,1
"103",0.296,0.072,0.105,0.07,0.289,0.221,0.165,1
"104",0.253,0.547,0.587,0.52,0.596,0.664,0.573,1
"105",0.292,0.504,0.572,0.384,0.933,0.967,0.776,1
"106",0.232,0.506,0.545,0.663,0.359,0.58,0.531,1
"107",0.203,0.178,0.182,0.172,0.262,0.252,0.206,1
"108",0.255,0.473,0.528,0.347,0.888,0.985,0.764,1
"109",0.272,0.493,0.474,0.461,0.3,0.386,0.409,1
"110",0.237,0.456,0.541,0.341,0.949,0.954,0.716,1
"111",0.219,0.374,0.411,0.488,0.22,0.375,0.443,1
"112",0.289,0.533,0.523,0.499,0.524,0.638,0.551,1
"113",0.238,0.274,0.233,0.182,0.372,0.309,0.293,1
"114",0.252,0.433,0.421,0.351,0.557,0.418,0.386,1
"115",0.219,0.162,0.157,0.127,0.309,0.311,0.257,1
"116",0.218,0.624,0.601,0.612,0.462,0.646,0.569,1
"117",0.289,0.401,0.422,0.477,0.44,0.639,0.577,1
"118",0.299,0.443,0.446,0.392,0.424,0.394,0.368,1
"119",0.299,0.187,0.207,0.169,0.41,0.366,0.278,1
"120",0.25,0.282,0.203,0.199,0.113,0.141,0.18,1
"121",0.254,0.577,0.613,0.71,0.384,0.629,0.595,1
"122",0.257,0.574,0.551,0.508,0.542,0.58,0.516,1
"123",0.255,0.476,0.466,0.396,0.443,0.423,0.393,1
"124",0.256,0.549,0.541,0.612,0.392,0.624,0.573,1
